station_id,date,daily_validations,rolling_7d_avg
20026,2023-01-01,436.0,436.0
20026,2023-01-02,604.0,520.0
20026,2023-01-03,576.0,538.6666666666666
20026,2023-01-04,595.0,552.75
20026,2023-01-05,566.0,555.4
20026,2023-01-06,169.0,491.0
20026,2023-01-07,18.0,423.42857142857144
20026,2023-01-08,612.0,448.57142857142856
20026,2023-01-09,651.0,455.2857142857143
20026,2023-01-10,659.0,467.14285714285717
20026,2023-01-11,640.0,473.57142857142856
20026,2023-01-12,606.0,479.2857142857143
20026,2023-01-13,178.0,480.57142857142856
20026,2023-01-14,23.0,481.2857142857143
20026,2023-01-15,644.0,485.85714285714283
20026,2023-01-16,621.0,481.57142857142856
20026,2023-01-17,680.0,484.57142857142856
20026,2023-01-18,663.0,487.85714285714283
20026,2023-01-19,590.0,485.57142857142856
20026,2023-01-20,184.0,486.42857142857144
20026,2023-01-21,4.0,483.7142857142857
20026,2023-01-22,617.0,479.85714285714283
20026,2023-01-23,671.0,487.0
20026,2023-01-24,674.0,486.14285714285717
20026,2023-01-25,588.0,475.42857142857144
20026,2023-01-26,629.0,481.0
20026,2023-01-27,176.0,479.85714285714283
20026,2023-01-28,1.0,479.42857142857144
20026,2023-01-29,631.0,481.42857142857144
20026,2023-01-30,649.0,478.2857142857143
20026,2023-01-31,612.0,469.42857142857144
20026,2023-02-01,546.0,463.42857142857144
20026,2023-02-02,586.0,457.2857142857143
20026,2023-02-03,138.0,451.85714285714283
20026,2023-02-04,2.0,452.0
20026,2023-02-05,610.0,449.0
20026,2023-02-06,606.0,442.85714285714283
20026,2023-02-07,547.0,433.57142857142856
20026,2023-02-08,582.0,438.7142857142857
20026,2023-02-09,614.0,442.7142857142857
20026,2023-02-10,186.0,449.57142857142856
20026,2023-02-11,1.0,449.42857142857144
20026,2023-02-12,583.0,445.57142857142856
20026,2023-02-13,567.0,440.0
20026,2023-02-14,628.0,451.57142857142856
20026,2023-02-15,630.0,458.42857142857144
20026,2023-02-16,562.0,451.0
20026,2023-02-17,166.0,448.14285714285717
20026,2023-02-18,9.0,449.2857142857143
20026,2023-02-19,591.0,450.42857142857144
20026,2023-02-20,622.0,458.2857142857143
20026,2023-02-21,594.0,453.42857142857144
20026,2023-02-22,623.0,452.42857142857144
20026,2023-02-23,622.0,461.0
20026,2023-02-24,246.0,472.42857142857144
20026,2023-02-25,0.0,471.14285714285717
20026,2023-02-26,587.0,470.57142857142856
20026,2023-02-27,633.0,472.14285714285717
20026,2023-02-28,648.0,479.85714285714283
20026,2023-03-01,456.0,456.0
20026,2023-03-02,555.0,446.42857142857144
20026,2023-03-03,127.0,429.42857142857144
20026,2023-03-04,0.0,429.42857142857144
20026,2023-03-05,492.0,415.85714285714283
20026,2023-03-06,531.0,401.2857142857143
20026,2023-03-07,433.0,370.57142857142856
20026,2023-03-08,516.0,379.14285714285717
20026,2023-03-09,277.0,339.42857142857144
20026,2023-03-10,147.0,342.2857142857143
20026,2023-03-11,0.0,342.2857142857143
20026,2023-03-12,583.0,355.2857142857143
20026,2023-03-13,644.0,371.42857142857144
20026,2023-03-14,587.0,393.42857142857144
20026,2023-03-15,611.0,407.0
20026,2023-03-16,300.0,410.2857142857143
20026,2023-03-17,147.0,410.2857142857143
20026,2023-03-18,0.0,410.2857142857143
20026,2023-03-19,546.0,405.0
20026,2023-03-20,580.0,395.85714285714283
20026,2023-03-21,601.0,397.85714285714283
20026,2023-03-22,580.0,393.42857142857144
20026,2023-03-23,169.0,374.7142857142857
20026,2023-03-24,162.0,376.85714285714283
20026,2023-03-25,0.0,376.85714285714283
20026,2023-03-26,546.0,376.85714285714283
20026,2023-03-27,288.0,335.14285714285717
20026,2023-03-28,534.0,325.57142857142856
20026,2023-03-29,500.0,314.14285714285717
